date,window_size,garch_model,distribution,arma_p,arma_q,forecast_mean,forecast_var,ci_lower,ci_upper,actual_return,in_ci,violation_type,dist_test_pvalue,aic,bic
2018-08-09,100,GARCH,normal,1,1,0.102152035222018,0.23329054222806003,-0.8445136984065402,1.0488177688505762,-0.14427146607,True,none,,218.29308889658844,231.2686881472614
2018-08-09,100,GARCH,studentst,1,1,0.10448125070298854,0.2333241590554138,-0.8422526870453412,1.0512151884513183,-0.14427146607,True,none,,220.3533643489554,235.92408344976295
2018-08-09,100,GARCH,t,1,1,0.10448125070298854,0.2333241590554138,-0.8422526870453412,1.0512151884513183,-0.14427146607,True,none,,220.3533643489554,235.92408344976295
2018-08-09,100,EGARCH,normal,1,1,0.09256474190272812,1.7112664239488944,-2.4713696369057807,2.6564991207112367,-0.14427146607,True,none,,212.85606224080394,225.8316614914769
2018-08-09,100,EGARCH,studentst,1,1,0.08362474093193192,1454.3148586186796,-74.6605432035121,74.82779268537598,-0.14427146607,True,none,,212.8333097909077,228.40402889171523
2018-08-09,100,EGARCH,t,1,1,0.08362474093193192,1454.3148586186796,-74.6605432035121,74.82779268537598,-0.14427146607,True,none,,212.8333097909077,228.40402889171523
2018-08-09,100,GJR-GARCH,normal,1,1,0.06918009684046454,0.21972727597071448,-0.8495545125135063,0.9879147061944354,-0.14427146607,True,none,,218.79342153289215,234.3641406336997
2018-08-09,100,GJR-GARCH,studentst,1,1,0.0704305159084466,0.21885202203352666,-0.846472439952988,0.9873334717698813,-0.14427146607,True,none,,220.8803912192453,239.0462301701874
2018-08-09,100,GJR-GARCH,t,1,1,0.0704305159084466,0.21885202203352666,-0.846472439952988,0.9873334717698813,-0.14427146607,True,none,,220.8803912192453,239.0462301701874
2018-08-10,100,GARCH,normal,1,1,0.1169451931930452,0.23604877829066592,-0.8353003956540497,1.06919078204014,-0.7139312324221158,True,none,,215.57986432045374,228.5554635711267
2018-08-10,100,GARCH,studentst,1,1,0.1167317087881071,0.23644552781346215,-0.8363138087149669,1.069777226291181,-0.7139312324221158,True,none,,217.65679142893023,233.22751052973777
2018-08-10,100,GARCH,t,1,1,0.1167317087881071,0.23644552781346215,-0.8363138087149669,1.069777226291181,-0.7139312324221158,True,none,,217.65679142893023,233.22751052973777
2018-08-10,100,EGARCH,normal,1,1,0.11543544544482648,9.472459604579594,-5.916816497377279,6.147687388266932,-0.7139312324221158,True,none,,210.53116172168157,223.50676097235453
2018-08-10,100,EGARCH,studentst,1,1,0.1164500019157409,9.609493050445547,-5.9592780895176585,6.19217809334914,-0.7139312324221158,True,none,,212.69441399796133,228.26513309876887
